 lga_code, lga_name,year, homeless_f_0_9, at_risk_f_0_9, homeless_m_0_9, at_risk_m_0_9, homeless_f_10_19, at_risk_f_10_19, homeless_m_10_19, at_risk_m_10_19, homeless_f_20_29, at_risk_f_20_29, homeless_m_20_29, at_risk_m_20_29, homeless_f_30_39, at_risk_f_30_39, homeless_m_30_39, at_risk_m_30_39, homeless_f_40_49, at_risk_f_40_49, homeless_m_40_49, at_risk_m_40_49, homeless_f_50_59, at_risk_f_50_59, homeless_m_50_59, at_risk_m_50_59, homeless_f_60_plus, at_risk_f_60_plus, homeless_m_60_plus, at_risk_m_60_plus,unknown_f,unknown_m
18350,Wingecarribee,2018,7,29,4,22,20,38,16,24,15,24,10,14,7,26,5,10,8,42,12,7,8,14,4,7,5,18,3,6,0,1
18400,Wollondilly,2018,14,24,16,26,19,40,19,29,7,12,3,3,9,19,3,3,7,16,3,7,3,7,5,0,0,9,0,0,5,5
18450,Wollongong,2018,78,77,99,88,177,123,146,107,191,199,143,73,138,113,132,56,98,105,155,52,55,61,77,37,23,21,27,15,2,0
18500,Woollahra,2018,4,0,0,0,0,7,3,3,0,0,0,0,3,0,6,0,0,5,0,0,3,4,4,3,0,3,0,0,9,12
18710,Yass Valley,2018,5,24,4,24,5,10,4,9,7,19,3,0,4,16,0,6,0,10,3,3,0,3,0,0,0,0,0,0,8,9
19399,Unincorporated NSW,2018,0,0,0,0,0,4,0,0,0,4,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,10
20110,Alpine,2018,0,0,0,0,3,0,4,0,0,10,0,3,0,14,4,0,0,14,4,3,0,12,0,0,0,6,0,0,10,9
20260,Ararat,2018,9,12,9,20,9,12,4,6,16,29,17,49,4,18,10,97,7,17,9,67,0,14,5,27,0,5,0,31,6,4
20570,Ballarat,2018,52,80,70,84,117,125,97,80,128,261,114,112,68,229,116,56,57,182,79,95,19,81,46,61,9,66,19,48,0,4
20660,Banyule,2018,49,37,64,62,53,57,60,67,73,75,44,30,59,87,28,32,33,80,43,26,15,46,18,18,17,42,13,30,0,3
20740,Bass Coast,2018,25,52,22,67,31,46,29,54,26,75,16,17,22,97,21,17,18,88,23,18,17,47,9,12,0,44,0,13,3,6
20830,Baw Baw,2018,6,47,15,40,17,43,10,27,33,77,20,25,31,106,21,23,24,73,25,18,9,33,11,16,3,40,5,13,2,0
20910,Bayside,2018,8,30,10,32,9,29,13,20,15,36,16,15,13,49,10,12,23,58,16,18,8,33,7,8,0,27,3,8,4,3
21010,Benalla,2018,0,5,3,0,6,16,12,4,15,37,24,13,5,40,13,11,5,26,9,16,6,16,6,9,0,6,4,5,5,1
21110,Boroondara,2018,14,66,9,72,12,35,11,46,22,64,17,22,33,78,19,28,18,80,29,44,17,70,22,22,6,59,8,26,2,2
21180,Brimbank,2018,167,335,183,386,136,289,101,231,184,443,114,130,130,584,132,142,82,341,106,108,38,216,58,76,25,173,24,77,0,2
21270,Buloke,2018,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,7,0,0,0,3,0,5,0,0,4,0,8,12
21370,Campaspe,2018,7,13,13,19,8,21,7,20,34,62,26,18,26,83,25,22,16,62,19,18,17,42,14,10,6,21,6,10,1,3
21450,Cardinia,2018,18,55,11,66,20,57,29,48,43,137,25,27,29,152,27,20,27,91,30,17,7,39,8,15,6,19,5,12,5,2
21610,Casey,2018,58,176,49,192,76,155,55,134,154,317,87,90,120,439,94,76,75,326,75,89,28,130,37,38,22,72,19,33,0,5
21670,Central Goldfields,2018,8,5,8,10,11,8,6,5,16,32,6,8,15,27,9,8,7,20,15,10,4,16,7,9,4,19,10,9,9,1
21750,Colac-Otway,2018,23,45,24,57,22,54,22,39,21,60,26,16,16,49,12,6,11,37,14,11,7,11,7,6,0,9,3,0,8,3
21830,Corangamite,2018,0,5,4,11,0,15,7,10,3,16,6,5,6,15,9,7,0,12,5,3,0,7,0,5,0,0,0,3,10,1
21890,Darebin,2018,66,55,72,65,60,41,57,43,112,113,74,53,87,121,95,66,84,105,99,74,42,67,62,39,33,49,34,41,2,2
22110,East Gippsland,2018,24,23,30,17,68,33,50,26,72,115,48,26,44,108,56,36,47,91,40,39,15,46,24,21,14,48,16,18,1,4
22170,Frankston,2018,91,134,77,133,79,133,67,110,125,190,76,69,93,266,108,85,56,204,93,97,28,96,37,52,20,64,28,42,1,3
22250,Gannawarra,2018,5,8,0,18,3,20,0,19,10,30,3,10,10,33,4,15,3,20,0,7,0,13,4,12,0,12,0,10,6,4
22310,Glen Eira,2018,17,41,21,36,17,36,23,42,30,44,39,18,38,72,22,17,25,77,34,28,15,35,17,19,4,36,8,25,2,2
22410,Glenelg,2018,18,14,18,20,26,18,23,17,25,24,28,15,11,34,23,11,11,16,14,12,8,11,7,9,0,8,3,0,3,4
22490,Golden Plains,2018,0,7,0,0,4,6,0,0,3,8,6,0,3,8,0,0,0,9,3,0,0,3,0,0,3,5,0,5,4,16
22620,Greater Bendigo,2018,22,78,28,89,79,122,53,85,156,289,111,81,88,324,96,107,57,266,89,68,22,108,33,49,14,69,16,45,2,0
22670,Greater Dandenong,2018,33,89,39,97,59,74,76,63,147,259,150,96,130,301,143,101,70,202,117,76,28,85,53,63,23,57,30,48,3,5
22750,Greater Geelong,2018,159,219,143,251,205,263,153,230,209,394,143,269,132,413,127,336,62,366,131,244,37,153,78,114,15,156,34,51,0,1
22830,Greater Shepparton,2018,13,45,28,50,82,125,65,66,140,204,86,88,84,192,97,129,68,149,81,100,27,79,40,46,16,40,27,40,2,2
22910,Hepburn,2018,11,13,9,8,11,10,11,7,13,12,9,6,6,23,10,0,11,28,7,8,4,10,6,7,6,15,5,9,6,2
22980,Hindmarsh,2018,0,0,0,4,3,4,0,5,0,10,0,0,0,6,0,0,0,6,0,6,0,8,0,0,0,4,0,0,10,12
23110,Hobsons Bay,2018,10,21,17,27,28,33,19,20,31,98,36,18,32,139,24,30,22,95,35,22,11,63,14,27,5,72,11,33,0,3
23190,Horsham,2018,9,17,9,28,15,37,14,20,19,80,11,26,13,72,10,13,9,53,12,15,0,16,5,8,0,12,5,0,4,2
23270,Hume,2018,77,164,80,176,68,134,57,106,136,239,62,84,97,306,68,102,58,230,74,93,44,134,40,59,45,77,54,71,1,2
23350,Indigo,2018,7,0,0,0,0,5,3,3,5,9,6,24,4,17,17,47,3,14,0,39,0,8,3,19,0,0,4,11,6,8
23430,Kingston,2018,39,81,42,69,48,60,29,51,48,96,42,24,51,150,32,21,44,133,40,37,21,53,29,26,10,40,8,17,4,2
23670,Knox,2018,42,205,60,218,56,201,50,168,81,184,71,90,49,242,60,84,57,201,56,89,25,112,37,32,24,63,43,45,2,3
23810,Latrobe,2018,51,128,56,121,98,83,92,68,171,246,156,82,86,254,111,64,54,127,73,58,30,76,42,31,19,45,15,25,0,6
23940,Loddon,2018,0,7,0,0,0,4,0,0,4,12,5,0,4,10,0,3,3,7,0,0,0,8,0,0,0,5,0,4,4,15
24130,Macedon Ranges,2018,0,4,5,9,17,12,12,27,15,29,11,13,16,47,7,10,7,56,7,10,9,29,4,8,0,46,0,25,9,3
24210,Manningham,2018,15,79,13,99,23,96,8,85,13,38,13,21,15,94,10,28,13,101,11,28,6,52,9,18,10,55,6,21,0,4
24250,Mansfield,2018,0,0,0,0,0,0,0,0,0,6,0,0,5,11,0,0,0,13,0,4,0,4,0,0,0,0,0,0,10,10
24330,Maribyrnong,2018,53,29,56,46,49,46,45,31,94,154,76,36,58,153,77,47,39,100,65,53,22,67,34,52,14,66,20,35,0,1
24410,Maroondah,2018,63,174,97,153,47,128,52,107,75,134,62,70,69,230,50,71,44,165,77,65,20,97,29,27,9,73,5,43,0,4
24600,Melbourne,2018,34,32,40,33,56,66,50,44,150,251,188,63,111,239,263,94,83,143,235,93,37,54,113,60,20,57,28,30,0,2
24650,Melton,2018,74,289,79,304,74,239,70,209,111,475,60,88,50,557,57,73,42,316,28,51,18,158,21,36,10,82,14,38,0,2
24780,Mildura,2018,42,86,57,79,83,134,48,75,127,221,76,54,92,221,66,58,47,156,70,52,26,77,25,42,17,36,20,22,5,4
24850,Mitchell,2018,4,17,9,7,16,37,19,18,27,60,19,13,30,65,35,19,17,72,21,26,8,33,14,18,4,24,4,10,6,1
24900,Moira,2018,5,5,13,7,8,41,8,25,26,58,12,15,22,55,12,19,11,48,15,17,0,21,4,9,3,19,10,12,6,2
24970,Monash,2018,53,129,52,131,54,109,33,89,54,98,46,53,46,154,29,61,38,171,41,58,24,65,24,51,19,63,15,48,0,7
25060,Moonee Valley,2018,16,18,19,25,14,24,17,18,68,126,25,25,49,150,47,32,20,146,21,34,12,50,17,14,11,57,18,22,0,4
25150,Moorabool,2018,6,14,3,23,7,21,7,12,21,46,10,12,16,53,9,17,7,48,9,12,0,19,8,5,0,17,0,7,6,3
25250,Moreland,2018,40,45,45,57,48,57,24,40,70,107,74,46,75,130,67,55,37,108,69,66,30,66,38,49,26,49,30,35,0,3
25340,Mornington Peninsula,2018,48,106,48,94,60,83,36,59,61,136,55,30,59,209,55,37,49,185,72,64,28,118,34,55,20,89,17,52,0,1
25430,Mount Alexander,2018,6,5,0,8,8,12,7,6,10,21,4,71,12,45,13,117,9,39,10,64,0,21,0,33,6,19,9,22,4,2
25490,Moyne,2018,5,16,0,15,6,19,4,25,9,16,6,7,3,21,4,4,7,9,6,12,3,0,0,7,0,12,0,0,5,8
25620,Murrindindi,2018,0,0,0,0,0,6,0,0,6,3,3,0,0,7,0,6,3,9,4,6,0,6,0,8,0,4,3,4,8,5
